character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
子,zi,zǐ,zǐ	1:古代指儿女，现在专指儿子。～女|～孙|～弟|王～|母～|独生～。2:人的通称。男～|女～|学～|君～|才～|游～。3:古代对男子的尊称，特指有学问的人。夫～|孔～|庄～|老～|诸～百家。4:代词。 古代对对方的尊称，相当于现在的“您”。以～之矛，攻～之盾。5:动物的卵。鱼～|蚕～|鸡～儿。6:植物的种子。莲～|瓜～|松～|菜～|葵花～。7:块状或粒状小而坚硬的东西。石～儿|枪～儿|铜～儿|棋～|算盘～儿。8:物质的基本粒子。电～|分～|离～|中～|质～。9:幼小的；小的；嫩的；动物的幼崽。～鸡|～猪|～姜|不入虎穴，焉得虎～。10:派生的；附属的。～目|～公司。11:古代贵族五等爵位（公、侯、伯、子、男）的第四等。～爵。12:地支的第一位。13:后缀。 附着在某些名物义成分、性状义成分、动作义成分的后面，构成名词，一般读轻声。鼻～|孩～|房～|掸～|胖～|剪～。,zǐ#zi,zǐ,zǐ,zǐ,zǐ#zi,3#0,3,3,3,zi#zi,zi,zi,zi,zi
卫,wèi,wèi,wèi	[衛]	1:保护；守护。～星|～冕|保～|捍～|防～|守～。2:担任保护、守护任务的人。警～|后～|门～。3:明代军队驻扎的地点，后沿用作地名。天津～|威海～。4:（Wèi）周代诸侯国名，故地在今河北南部和河南北部一带。5:（Wèi）姓。,wèi,wèi,wèi,wèi,wèi,4,4,4,4,wei,wei,wei,wei,wei
也,yě,yě,yě	1:副词。 表示类同、同样。他会唱歌，～会画画|这些事我～能做。2:副词。 表示转折、让步。虽然住得很远，他～没迟到过|你不说我～知道。3:副词。 表示强调。再～不会这样了|一点儿～不累。4:副词。 表示委婉。你～该懂点事了|事到如今，～只好这样了。,yě,yě,yě,yě,yě,3,3,3,3,ye,ye,ye,ye,ye
女,nǚ,nǚ#rǔ,nǚ	1:女性（跟“男”相对）。～子|～人|～孩儿|～生|男～。2:女儿。长（zhǎng）～|独生～|生儿育～。3:星宿名。二十八宿之一，属北方玄武。,nǚ#rǔ,nǚ#rǔ,nǚ#rǔ,nǚ#rǔ,nǚ#rǔ,3#3,3#3,3#3,3#3,nv#ru,nv#ru,nv#ru,nv#ru,nv#ru
刃,rèn,rèn,rèn	1:刀、剑、剪刀等锋利的部位。刀～|锋～|双～剑|迎～而解|游～有余。2:指刀。～具|利～|白～战。3:用刀杀。自～|手～仇敌。,rèn,rèn,rèn,rèn,rèn,4,4,4,4,ren,ren,ren,ren,ren
飞,fēi,fēi,fēi	[飛]	1:（鸟、虫等）振动翅膀在空中活动。～翔|～行|～虫|～禽|大雁南～。2:物体在空中飘荡或行动。～沙走石|大雪纷～|飞机起～|火箭～向太空。3:疾速地。～跑|～奔|～驰|～涨。4:意外的；凭空而来的。～灾|～祸|流言～语。,fēi,fēi,fēi,fēi,fēi,1,1,1,1,fei,fei,fei,fei,fei
习,xí,xí,xí	[習]	1:反复地学，使熟练。～字|学～|练～|自～|复～|修文～武。2:因接触多而熟悉。熟～|～以为常|不～水性。3:经常。～见|～闻|～用。4:习惯。～俗|～性|～气|积～|陋～|相沿成～。5:（Xí）姓。,xí,xí,xí,xí,xí,2,2,2,2,xi,xi,xi,xi,xi
叉,chā,chā#chá#chǎ,1chā	1:叉子，用来扎取东西的器具，一端有长齿。钢～｜鱼～｜刀～。2:用叉子扎取。～鱼｜～稻草。3:交错。交～｜～着双手。4:叉形符号，形状是“×”，用来代表错误或作废。打～。#####2chá	堵住；卡住。路口被汽车～死了｜冰凌～住了河道。#####3chǎ	分开；张开。～着腿。#####4chà	1:【劈（pǐ）叉】 两腿向相反方向分开呈一字形，臀部着地。2:【排叉儿】 一种油炸面食。一般为长方形薄片状，多为两层。,chā#chá#chǎ,chā#chá#chǎ,chā#chá#chǎ,chā#chá#chǎ,chā#chá#chǎ,1#2#3,1#2#3,1#2#3,1#2#3,cha#cha#cha,cha,cha,cha,cha
马,mǎ,mǎ,mǎ	[馬]	1:哺乳动物。面部长，耳朵直立，颈部有鬃，尾巴有长毛，四肢强健，善于奔跑。常被用来骑乘、拉车、耕地等。2:大。～蜂|～勺。3:（Mǎ）姓。,mǎ,mǎ,mǎ,mǎ,mǎ,3,3,3,3,ma,ma,ma,ma,ma
乡,xiāng,xiāng,xiāng	[鄉]	1:农村（跟“城”相对）。～村|～下|～间|水～|山～|穷～僻壤。2:自己家庭世代居住或本人生长的地方。～亲|～音|家～|同～|背井离～。3:行政区划单位，隶属于县或区。,xiāng,xiāng,xiāng,xiāng,xiāng,1,1,1,1,xiang,xiang,xiang,xiang,xiang
丰,fēng,fēng,1fēng	[豐]	1:充足；多。～富|～满|～收|～衣足食|五谷～登。2:大。～碑|～功伟绩。3:（Fēng）姓。#####2fēng	美好的容貌和姿态。～姿|～采|～韵。,fēng,fēng,fēng,fēng,fēng,1,1,1,1,feng,feng,feng,feng,feng
王,wáng,wáng#wàng,wáng	1:君主；天子。～位|～国|～宫|～朝|国～|帝～。2:君主制国家的最高爵位。～爵|～爷|～府|～公|亲～|～侯将相。3:首领；同类中最大或最强的个体。占山为～|擒贼擒～|～牌|龙～|蜂～|猴～。4:（Wáng）姓。,wáng#wàng,wáng#wàng,wáng#wàng,wáng,wáng#wàng,2#4,2#4,2,2#4,wang#wang,wang,wang,wang,wang
开,kāi,kāi,kāi	[開]	1:打开（跟“关、合”相对）。～门|～灯|～启|～幕|公～。2:（合拢的东西）舒张；（相连的东西）分离。～花|～裂|～胶|盛～|绽～。3:（冻结的东西）融化。～冻|七九河～，八九雁来。4:打通；拓展。～路|～荒|～拓|～采|～辟|～发。5:解除（禁令、限制等）。～禁|～戒|～除|～释。6:发动，操纵（机器、枪炮等）。～车|～飞机|～枪。7:起始。～端|～春|～局|～始|～工|～战。8:（军队）出发。～赴|～拔|队伍～往前线。9:设置；创办。～国|～设|～办|～户|～工厂。10:举行（会议等）。召～|～座谈会。11:写出（多指分列项目的）；说出（价钱）。～具|～列|～清单|～药方|～价儿。12:支付（钱款）。～支|～销|～工钱。13:按十分之几的比例分配。三七～。14:量词。 印刷上所用的纸相当于整张纸的多少分之一，就叫多少开。八～纸|十六～本。15:（液体）沸腾。水～了|凉～水。16:用在动词后面，表示动作的趋向或结果等。16.1:表示随动作分开、离开、展开。翻～书|抛～幻想|传染病蔓延～了。16.2:表示清楚、开阔。把事说～了好|看得远，想得～。16.3:表示开始并继续下去。几场秋雨过去，天就凉～了。16.4:表示容纳得下。屋子小，人多了站不～|地方虽不大，两张床还放得～。17:量词。 黄金中含纯金量的计算单位（24开为纯金）。18～金的项链。,kāi,kāi,kāi,kāi,kāi,1,1,1,1,kai,kai,kai,kai,kai
井,jǐng,jǐng,jǐng	1:从地面向下挖成的能取水的深洞。～台|机～|枯～|打～|～底之蛙。2:形状像井的东西。矿～|油～|盐～|天～|钻～队。3:指人口聚居的地方。市～|背～离乡。4:整齐；有秩序。～然|～～有条。5:星宿名。二十八宿之一，属南方朱雀。6:（Jǐng）姓。,jǐng,jǐng,jǐng,jǐng,jǐng,3,3,3,3,jing,jing,jing,jing,jing
天,tiān,tiān,tiān	1:天空；高空。～边|～际|蓝～|航～|参～|漫～。2:架在空中的；位置在顶部的。～线|～桥|～窗|～棚|～车|～花板。3:一昼夜的时间，有时专指白天。今～|整～|当～|改～|每～|一～一夜。4:一天中的某一段时间。三更～|晌午～|～儿还早呢。5:季节。秋～|暑～|三伏～|数九寒～。6:天气；气候。～时|～旱|～热|晴～|～寒地冻。7:泛指自然界。～灾|～籁|改～换地|人定胜～。8:信仰宗教的人指自然界的主宰者。～命|～意|～机|听～由命。9:信仰宗教的人指神、佛、仙人居住的地方。～堂|～国|西～|归～。10:天生的；自来就有的。～才|～资|～赋|～性|～险|～敌。,tiān,tiān,tiān,tiān,tiān,1,1,1,1,tian,tian,tian,tian,tian
夫,fū,fū#fú,fū	1:妻子的配偶。～妻|姐～|前～|～唱妇随。2:成年男子的通称。匹～|老～|懦～|一～当关，万～莫开。3:从事某种体力劳动的人。农～|船～|车～|渔～|纤～。4:旧时服劳役的人。～役|拉～|民～。,fū#fú,fū#fú,fū#fú,fū#fú,fū#fú,1#2,1#2,1#2,1#2,fu#fu,fu,fu,fu,fu
元,yuán,yuán,yuán	1:开始的；第一。～旦|～月|～年|纪～。2:为首的。～首|～帅|～勋|～老|～凶|状～。3:主要的；基本的。～素|～气|～音。4:构成整体的一部分。单～|～件。5:同“圆”。6:（Yuán）朝代名（1206—1368年）1206年蒙古族孛儿只斤·铁木真（成吉思汗）建蒙古汗国，1271年其孙忽必烈定国号为元，建都大都（今北京）。7:（Yuán）姓。,yuán,yuán,yuán,yuán,yuán,2,2,2,2,yuan,yuan,yuan,yuan,yuan
无,wú,wú,1mó	[無]	【南（nā）无】 见“南”。#####2wú	[無]	1:没有（跟“有”相对）。～法|～疑|～数|～限|～力|～声。2:不。～非|～须|～论如何|～动于衷。3:连词。 不论。事～巨细，都亲自过问。,wú,wú,wú,wú,wú,2,2,2,2,wu,wu,wu,wu,wu
云,yún,yún,1yún	[雲 ]	1:在空中飘浮的由细小的水珠、冰晶聚集形成的物体。2:（Yún）云南的简称。～烟|～腿|～贵高原。3:（Yún）姓。#####2yún	说。人～亦～|不知所～。,yún,yún,yún,yún,yún,2,2,2,2,yun,yun,yun,yun,yun
专,zhuān,zhuān,zhuān	[專]	1:集中在某一方面的；特定的。～业|～职|～心|～家|～程|～款。2:独自掌握或享有。～利|～制|～权|～卖|～机|～车。3:副词。 专门；只。这种药～治胃病|他～爱跟我开玩笑。,zhuān,zhuān,zhuān,zhuān,zhuān,1,1,1,1,zhuan,zhuan,zhuan,zhuan,zhuan
丐,gài,gài,gài	乞丐。～帮。,gài,gài,gài,gài,gài,4,4,4,4,gai,gai,gai,gai,gai
扎,zhā,zā#zhā#zhá,1zā	1:捆；束。～染|包～|～辫子。2:量词。 用于捆在一起的东西。两～葱|几～线|一～小白菜。#####2zhā	1:刺。～针|～手|～眼|～花（刺绣）。2:钻（进去）。～根|～实|～堆|～猛子|～进草丛。3:驻扎，军队在某地住下。～营|安营～寨|稳～稳打。#####3zhá	【扎挣（zheng）】 勉强支撑。她病得不轻，可还～着自己做饭。,zā#zhā#zhá,zā#zhā#zhá,zā#zhā#zhá,zā#zhā#zhá,zā#zhā#zhá,1#1#2,1#1#2,1#1#2,1#1#2,za#zha#zha,za#zha,za#zha,za#zha,za#zha
艺,yì,yì,yì	[藝]	1:技能；技术。工～|技～|手～|园～|武～。2:艺术。～人|文～|曲～|综～。,yì,yì,yì,yì,yì,4,4,4,4,yi,yi,yi,yi,yi
木,mù,mù,mù	1:树。乔～|草～|伐～|枯～逢春。2:木材；木头。～板|～器|红～|杉～|～地板。3:棺材。棺～|寿～|行将就～。4:质朴；朴实。～讷（nè）。5:反应慢。～头～脑|这人太～，真让人着急。6:感觉不灵敏；失去知觉。麻～|舌头发～|脚冻～了。,mù,mù,mù,mù,mù,4,4,4,4,mu,mu,mu,mu,mu
五,wǔ,wǔ,wǔ	1:数目字，最小的大于四的整数。2:中国民族音乐音阶的一级，乐谱上用作记音符号，相当于简谱的“6”。,wǔ,wǔ,wǔ,wǔ,wǔ,3,3,3,3,wu,wu,wu,wu,wu
支,zhī,zhī,zhī	1:撑起；架起。～架|～点|～柱|～帐篷|～锅做饭。2:支撑；支持。～应|～援|～教|～农|体力不～|乐不可～。3:伸出；竖起。～着耳朵听。4:从总体分出的部分。～流|～脉|～队|～线|分～|旁～。5:指使；分派。～使|～配|把闲人～开。6:付出或领取（款项）。～出|～付|～取|开～|收～平衡。7:指地支，即子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥的总称。干～纪年。8.1:量词。 用于队伍。一～骑兵|一～仪仗队。8.2:量词。 用于歌曲或乐曲。一～歌|一～舞曲。8.3:量词。 用于某些杆状的物品。一～笔|两～枪|几～香烟。8.4:量词。 用于计量纱线粗细（1克重的纱线长100米，就是100支纱；纱线越细，支数越多）。80～纱的汗衫。。9:（Zhī）姓。,zhī,zhī,zhī,zhī,zhī,1,1,1,1,zhi,zhi,zhi,zhi,zhi
厅,tīng,tīng,tīng	[廳]	1:待客、聚会等用的大房间。～堂|客～|大～|展～|餐～|会议～。2:党政机关某些机构的名称。办公～|公安～|财政～。,tīng,tīng,tīng,tīng,tīng,1,1,1,1,ting,ting,ting,ting,ting
不,bù,bù#fǒu,bù	1:副词。 表示否定。我～去|他～要|鞋子～大。2:副词。 单用，回答问话，表示与问话意思相反。你去吗？～，我想在家写作业。3:副词。 表示不可能（多读轻声）。拿～动|吃～下|看～见。,bù#fǒu,bù#fǒu,bù#fǒu,bù#fǒu,bù#fǒu,4#3,4#3,4#3,4#3,bu#fou,bu#fou,bu#fou,bu#fou,bu#fou
犬,quǎn,quǎn,quǎn	狗。猎～|缉毒～|鸡～不宁。,quǎn,quǎn,quǎn,quǎn,quǎn,3,3,3,3,quan,quan,quan,quan,quan
太,tài,tài,tài	1:高；大。～空。2:最高的；最远的。～学|～古|～初。3:表示身份、辈分最高或更高的。～老师|～夫人。4:副词。 表示超出正常的程度。～小|～长|～简单|～紧张。5:副词。 表示程度极高。～漂亮了|～差劲了|～有意思了。,tài,tài,tài,tài,tài,4,4,4,4,tai,tai,tai,tai,tai
区,qū,qū#ōu,1Ōu	[區]	姓。#####2qū	[區]	1:（陆地、水面或空中的）一定范围。地～|山～|景～|灾～|禁渔～|防～。2:行政区划单位，有民族自治区、市辖区、县辖区、特区等。3:分别；划分。～分|～别。,qū#ōu,qū#ōu,qū#ōu,ōu,qū#ōu,1#1,1#1,1,1#1,qu#ou,qu#ou,qu#ou,ou,qu#ou
历,lì,lì,1lì 	[歷]	1:经过。～史|～程|来～|资～|简～|学～。2:经过了的各个或各次。～次|～任|～年|～届。3:副词。 一个一个地；逐一。～览|～数|～访名贤。4:(Lì）姓。#####2lì 	[曆]	1:推算年、月、日和节气的方法。～法|公～|农～。2:记录年、月、日和节气的书、表、册等。～书|日～|台～|万年～。,lì,lì,lì,lì,lì,4,4,4,4,li,li,li,li,li
歹,dǎi,dǎi,dǎi	坏；恶。～毒|～徒|为非作～|不知好～。,dǎi,dǎi,dǎi,dǎi,dǎi,3,3,3,3,dai,dai,dai,dai,dai
友,yǒu,yǒu,yǒu	1:关系密切、有交情的人。～谊|～情|朋～|战～|亲～。2:关系好；亲近。～好|～人|～爱|～邦。,yǒu,yǒu,yǒu,yǒu,yǒu,3,3,3,3,you,you,you,you,you
尤,yóu,yóu,yóu	1:特异的；突出的。～物|择～|无耻之～。2:副词。 更；格外。～妙|他各门功课都好，～以数学见长。3:过失；过错。罪～|效～。4:怨恨；责怪。怨天～人。5:（Yóu）姓。,yóu,yóu,yóu,yóu,yóu,2,2,2,2,you,you,you,you,you
匹,pǐ,pǐ,pǐ	1:比得上；相当。～敌|～配。2:单独。～夫|单枪～马。3.1:量词。 用于马、骡等。一～马|几～骡子。3.2:量词。 用于成卷的布、绸、呢、绒等。两～布|一～绸子|几～呢料。,pǐ,pǐ,pǐ,pǐ,pǐ,3,3,3,3,pi,pi,pi,pi,pi
车,chē,chē#jū,1chē	[車]	1:装有轮子，在陆地上行驶的交通运输工具。火～｜汽～｜自行～｜～流｜～位｜～水马龙。2:利用轮轴转动进行工作的机械，也泛指机器。～床｜纺～｜水～｜缆～｜～间｜试～。3:用车床切削。～削｜～零件。4:用水车取水。～水。6:（Chē）姓。#####2jū	[車]	中国象棋棋子的一种。,chē#jū,chē#jū,chē#jū,chē,chē#jū,1#1,1#1,1,1#1,che#ju,che#ju,che#ju,che,che#ju
巨,jù,jù,jù	1:大；很大。～大|～变|～额|～资|～型|艰～。2:（Jù）姓。,jù,jù,jù,jù,jù,4,4,4,4,ju,ju,ju,ju,ju
牙,yá,yá,yá	1:牙齿，人和动物咀嚼食物的坚固组织。2:特指象牙。～雕|～筷|～章。3:形状像牙齿的东西。～轮（齿轮）。,yá,yá,yá,yá,yá,2,2,2,2,ya,ya,ya,ya,ya
屯,tún,tún#zhūn,tún	1:聚集；储存。～聚|～粮。2:（军队）驻扎。～兵|～垦|～田|～守|驻～。3:村庄，多用于地名。小～（在河南）|皇姑～（在辽宁）。,tún#zhūn,tún#zhūn,tún#zhūn,tún#zhūn,tún#zhūn,2#1,2#1,2#1,2#1,tun#zhun,tun#zhun,tun#zhun,tun#zhun,tun#zhun
戈,gē,gē,gē	1:古代兵器。横刃，用青铜或铁制成，有长柄。干（gān）～|兵～|挥～|反～一击|枕～待旦|同室操～。2:（Gē）姓。,gē,gē,gē,gē,gē,1,1,1,1,ge,ge,ge,ge,ge
比,bǐ,bǐ,bǐ	1:比较；较量；能够相比。～赛|～武|评～|攀～|无与伦～|今非昔～。2:依照。～照|～着葫芦画瓢|～着这件上衣再做一件。3:比方。～拟|～喻|～如|好～。4:介词。 引入比较的对象，比较性状和程度。说～做容易|生意一天～一天火。5:挨着；并列。～肩|～目鱼|排～句|～翼齐飞|鳞次栉～。6:勾结。朋～为奸（相互勾结做坏事）。7:数学上表示同类数量之间的倍数关系。～例|～率|～值|百分～|性价～。8:表示竞赛双方得分的对比。四～二，客队反败为胜。,bǐ,bǐ,bǐ,bǐ,bǐ,3,3,3,3,bi,bi,bi,bi,bi
互,hù,hù,hù	副词。 互相；彼此同样对待。～联网|～敬～爱|～通有无|～不干涉内政。,hù,hù,hù,hù,hù,4,4,4,4,hu,hu,hu,hu,hu
切,qiè,qiē#qiè,1qiē	1:用刀从上往下割。～割|～除|横～面|～成丝儿。2:几何学上指直线、圆或面等与圆、弧或球相交时只有一个交点。#####2qiè	1:相合；符合。～合|～实|～题|确～|真～|～中时弊。2:贴近；接近。～近|亲～|密～|深～|～身利益。3:急迫。急～|迫～|热～|殷～|救人心～。4:副词。 千万；务必。～记|～勿擅自进入。5:中医指用手指卡脉以诊断病情。～脉|望闻问～。6:指反切，中国传统的标音方法，即用两个字的音拼合出另一个字的音，原则是上字取声母，下字取韵母和声调，如“睹，当古切”；“海，呼改切”。,qiē#qiè,qiē#qiè,qiē#qiè,qiē#qiè,qiē#qiè,1#4,1#4,1#4,1#4,qie#qie,qie,qie,qie,qie
瓦,wǎ,wǎ#wà,1wǎ	1:覆盖屋顶用的建筑材料，用黏土或水泥等制成。～房|砖～|～砾|琉璃～|石棉～|土崩～解。2:用黏土烧制的器物。～盆|～罐|～器。3:量词。 功率单位瓦特的简称，每秒钟做1焦的功，功率为1瓦。#####2wà	盖（瓦）；铺（瓦）。～刀|房顶苫好后就～瓦（wǎ）。,wǎ#wà,wǎ#wà,wǎ#wà,wǎ#wà,wǎ#wà,3#4,3#4,3#4,3#4,wa#wa,wa,wa,wa,wa
